,song_title,artist
0,A Bar Song (Tipsy),Shaboozey
1,Die With A Smile,Lady Gaga & Bruno Mars
2,Birds Of A Feather,Billie Eilish
3,Espresso,Sabrina Carpenter
4,Lose Control,Teddy Swims
5,That's So True,Gracie Abrams
6,I Had Some Help,Post Malone Featuring Morgan Wallen
7,Taste,Sabrina Carpenter
8,Beautiful Things,Benson Boone
9,Love Somebody,Morgan Wallen
10,"Good Luck, Babe!",Chappell Roan
11,Too Sweet,Hozier
12,APT.,ROSE & Bruno Mars
13,Timeless,The Weeknd & Playboi Carti
14,Please Please Please,Sabrina Carpenter
15,Not Like Us,Kendrick Lamar
16,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
17,I Am Not Okay,Jelly Roll
18,Lies Lies Lies,Morgan Wallen
19,Stargazing,Myles Smith
20,Hot To Go!,Chappell Roan
21,Sailor Song,Gigi Perez
22,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar"
23,Tu Boda,Oscar Maydon & Fuerza Regida
24,Wildflower,Billie Eilish
25,Whatchu Kno About Me,GloRilla & Sexyy Red
26,"I Love You, I'm Sorry",Gracie Abrams
27,Million Dollar Baby,Tommy Richman
28,High Road,Zach Bryan
29,Bed Chem,Sabrina Carpenter
30,The Door,Teddy Swims
31,Miles On It,Marshmello & Kane Brown
32,Pink Skies,Zach Bryan
33,High Road,Koe Wetzel & Jessie Murph
34,You Look Like You Love Me,Ella Langley Featuring Riley Green
35,TGIF,GloRilla
36,Cowgirls,Morgan Wallen Featuring ERNEST
37,Last Christmas,Wham!
38,Ain't No Love In Oklahoma,Luke Combs
39,Wind Up Missin' You,Tucker Wetmore
40,I Can Do It With A Broken Heart,Taylor Swift
41,Austin,Dasha
42,"Darling, I","Tyler, The Creator Featuring Teezo Touchdown"
43,Pink Pony Club,Chappell Roan
44,Who,Jimin
45,Like Him,"Tyler, The Creator Featuring Lola Young"
46,Help Me,Real Boston Richey
47,Rah Tah Tah,"Tyler, The Creator"
48,This World's A Giant,Zach Bryan
49,Kehlani,Jordan Adetunji
50,Hard Fought Hallelujah,Brandon Lake
51,Dancing In The Flames,The Weeknd
52,Beautiful As You,Thomas Rhett
53,Dos Dias,Tito Double P & Peso Pluma
54,It's Ok I'm Ok,Tate McRae
55,Disease,Lady Gaga
56,25,Rod Wave
57,I Never Lie,Zach Top
58,Residuals,Chris Brown
59,Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold"
60,Heart Of A Woman,Summer Walker
61,+57,"Karol G, Feid & DFZM Featuring Ovy On The Drums, J Balvin, Maluma, Ryan Castro & Blessd"
62,I'm Gonna Love You,Cody Johnson & Carrie Underwood
63,Juno,Sabrina Carpenter
64,Noid,"Tyler, The Creator"
65,Shake Dat Ass (Twerk Song),BossMan Dlow
66,Close To You,Gracie Abrams
67,No One Noticed,The Marias
68,28,Zach Bryan
69,Think I'm In Love With You,Chris Stapleton
70,Diet Pepsi,Addison Rae
71,Bad Dreams,Teddy Swims
72,Guy For That,Post Malone Featuring Luke Combs
73,Liar,Jelly Roll
74,El Lokeron,Tito Double P
75,La Patrulla,Peso Pluma & Neton Vega
76,No Pole,Don Toliver
77,For Me,Loe Shimmy & Brent Faiyaz
78,I Luv Her,GloRilla & T-Pain
79,Apple,Charli xcx
80,New Drop,Don Toliver
81,Good Graces,Sabrina Carpenter
82,Him All Along,Gunna
83,Or What?,NLE Choppa & 41
84,Mamushi,Megan Thee Stallion Featuring Yuki Chiba
85,Am I Okay?,Megan Moroney
86,Lonely Road,mgk & Jelly Roll
87,Nel,Fuerza Regida
88,Balloon,"Tyler, The Creator Featuring Doechii"
89,Judge Judy,"Tyler, The Creator"
90,Wondering Why,The Red Clay Strays
91,On One Tonight,Gunna
92,Brokey,Latto
93,Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams"
94,Thick Of It,KSI Featuring Trippie Redd
95,Prove It,21 Savage & Summer Walker
96,4x4xU,Lainey Wilson
97,I Ain't Sayin',Jordan Davis
98,The Largest,BigXthaPlug
99,Criminals,Meghan Trainor
